i;j;p;v;p_int_ub
0; 0;1.00000000; 0;1.00000000
1; 0;0.40779900;-1;0.40779900
1; 1;0.50000000; 0;0.90779900
1; 2;0.02656742; 1;0.93436642
1; 3;0.01065810; 2;0.94502452
1; 4;0.00578003; 3;0.95080455
1; 5;0.00423739; 4;0.95504194
1; 6;0.00419939; 5;0.95924133
1; 7;0.00562593; 6;0.96486726
1; 8;0.01018873; 7;0.97505599
1; 9;0.02494401; 8;1.00000000
2; 0;0.16609670;-2;0.16609670
2; 1;0.16609669;-1;0.33219339
2; 2;0.50000000; 0;0.83219339
2; 3;0.05297493; 1;0.88516832
2; 4;0.03553425; 2;0.92070257
2; 5;0.02461301; 3;0.94531558
2; 6;0.01760446; 4;0.96292004
2; 7;0.01300233; 5;0.97592237
2; 8;0.00991655; 6;0.98583892
2; 9;0.00780981; 7;0.99364873
2;10;0.00635127; 8;1.00000000
3; 0;0.08176408;-3;0.08176408
3; 1;0.09552772;-2;0.17729180
3; 2;0.09989997;-1;0.27719177
3; 3;0.50000000; 0;0.77719177
3; 4;0.07835097; 1;0.85554274
3; 5;0.05876076; 2;0.91430350
3; 6;0.03944569; 3;0.95374919
3; 7;0.02370177; 4;0.97745096
3; 8;0.01274767; 5;0.99019863
3; 9;0.00613691; 6;0.99633554
3;10;0.00264447; 7;0.99898001
3;11;0.00101999; 8;1.00000000
4; 0;0.03081775;-4;0.03081775
4; 1;0.05337879;-3;0.08419654
4; 2;0.07822389;-2;0.16242043
4; 3;0.09698687;-1;0.25940730
4; 4;0.50000000; 0;0.75940730
4; 5;0.09029607; 1;0.84970337
4; 6;0.06780335; 2;0.91750672
4; 7;0.04307610; 3;0.96058282
4; 8;0.02315392; 4;0.98373674
4; 9;0.01052969; 5;0.99426643
4;10;0.00405144; 6;0.99831787
4;11;0.00131888; 7;0.99963675
4;12;0.00036325; 8;1.00000000
5; 0;0.01032484;-5;0.01032484
5; 1;0.02410745;-4;0.03443229
5; 2;0.04651919;-3;0.08095148
5; 3;0.07418671;-2;0.15513819
5; 4;0.09777618;-1;0.25291437
5; 5;0.50000000; 0;0.75291437
5; 6;0.09587071; 1;0.84878508
5; 7;0.07132338; 2;0.92010846
5; 8;0.04385215; 3;0.96396061
5; 9;0.02228244; 4;0.98624305
5;10;0.00935724; 5;0.99560029
5;11;0.00324748; 6;0.99884777
5;12;0.00093144; 7;0.99977921
5;13;0.00022079; 8;1.00000000
6; 0;0.00305014;-6;0.00305014
6; 1;0.00910396;-5;0.01215410
6; 2;0.02226399;-4;0.03441809
6; 3;0.04461055;-3;0.07902864
6; 4;0.07323762;-2;0.15226626
6; 5;0.09851290;-1;0.25077916
6; 6;0.50000000; 0;0.75077916
6; 7;0.09803858; 1;0.84881774
6; 8;0.07253407; 2;0.92135181
6; 9;0.04396928; 3;0.96532109
6;10;0.02183829; 4;0.98715938
6;11;0.00888689; 5;0.99604627
6;12;0.00296308; 6;0.99900935
6;13;0.00080947; 7;0.99981882
6;14;0.00018118; 8;1.00000000
7; 0;0.00077667;-7;0.00077667
7; 1;0.00288662;-6;0.00366329
7; 2;0.00876591;-5;0.01242920
7; 3;0.02174991;-4;0.03417911
7; 4;0.04409324;-3;0.07827235
7; 5;0.07303658;-2;0.15130893
7; 6;0.09884680;-1;0.25015573
7; 7;0.50000000; 0;0.75015573
7; 8;0.09875717; 1;0.84891290
7; 9;0.07290416; 2;0.92181706
7;10;0.04397339; 3;0.96579045
7;11;0.02167111; 4;0.98746156
7;12;0.00872623; 5;0.99618779
7;13;0.00287095; 6;0.99905874
7;14;0.00077175; 7;0.99983049
7;15;0.00016951; 8;1.00000000
8; 0;0.00001394;-8;0.00001394
8; 1;0.00013057;-7;0.00014451
8; 2;0.00090784;-6;0.00105235
8; 3;0.00468369;-5;0.00573604
8; 4;0.01793117;-4;0.02366721
8; 5;0.05094121;-3;0.07460842
8; 6;0.10739141;-2;0.18199983
8; 7;0.16800017;-1;0.35000000
8; 8;0.30000000; 0;0.65000000
8; 9;0.16800018; 1;0.81800018
8;10;0.10739140; 2;0.92539158
8;11;0.05094121; 3;0.97633279
8;12;0.01793117; 4;0.99426396
8;13;0.00468369; 5;0.99894765
8;14;0.00090784; 6;0.99985549
8;15;0.00013057; 7;0.99998606
8;16;0.00001394; 8;1.00000000
